"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),출산 및 육아정책,일자리 창출 및 정착 지원,체육시설 및 문화공간 확충,편리한 교통체계,우수한 교육기관 증설,주거단지 조성·지원,귀농귀촌자 지원 확대,치안·범죄로부터의 안전,기타
"전체",소계,47.5,71.6,14.7,10.5,21.0,14.2,19.1,1.3,0.0
"성별",남자,46.0,68.8,15.5,12.6,21.2,15.9,18.8,1.3,0.0
"성별",여자,49.0,74.4,14.0,8.3,20.9,12.5,19.5,1.4,0.0
"연령별",29세이하,42.8,67.2,18.0,13.8,22.5,13.8,21.8,0.0,0.0
"연령별",30 ~ 39세,54.9,72.7,16.0,9.3,27.1,8.0,12.0,0.0,0.0
"연령별",40 ~ 49세,52.0,75.0,15.9,7.1,23.9,12.4,12.8,0.9,0.0
"연령별",50 ~ 59세,45.5,74.4,14.3,7.7,22.0,14.7,18.4,3.1,0.0
"연령별",60 ~ 69세,47.6,70.0,15.4,12.6,17.3,16.4,20.3,0.5,0.0
"연령별",70세이상,46.5,71.2,11.0,11.2,18.6,15.5,23.7,2.2,0.0
"경제활동 상태별",취업자,49.6,69.3,14.3,10.1,20.9,14.9,19.7,1.2,0.0
"경제활동 상태별",비경제활동,45.0,74.5,15.2,11.0,21.2,13.2,18.4,1.4,0.0
"소득수준별",100만원 미만,48.9,74.5,7.3,11.0,19.1,13.1,24.2,1.9,0.0
"소득수준별",100~200만원 미만,52.9,70.5,12.2,12.8,23.1,9.1,17.9,1.4,0.0
"소득수준별",200~300만원 미만,47.0,67.5,17.6,13.9,17.6,15.6,20.0,0.8,0.0
"소득수준별",300~400만원 미만,44.8,65.9,17.4,8.0,26.0,21.1,15.5,1.2,0.0
"소득수준별",400~500만원 미만,54.0,77.2,19.9,8.5,11.3,12.8,16.0,0.3,0.0
"소득수준별",500만원 이상,41.2,74.5,15.0,8.3,26.8,13.0,19.2,2.0,0.0
"교육정도별",초졸이하,49.3,72.9,11.5,11.9,15.8,16.9,20.2,1.5,0.0
"교육정도별",중졸,41.8,73.4,13.7,10.9,21.3,12.8,25.1,1.0,0.0
"교육정도별",고졸,44.3,71.0,16.5,8.1,21.2,16.5,20.5,1.9,0.0
"교육정도별",대졸이상,52.9,70.6,15.4,11.9,24.3,10.5,13.7,0.7,0.0
