"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),문화여가시설(접근성과 충분정도),문화여가시설(접근성과 충분정도),문화여가시설(접근성과 충분정도),문화여가시설(접근성과 충분정도),문화여가시설(접근성과 충분정도),문화여가시설(접근성과 충분정도),전반적인 여가활동,전반적인 여가활동,전반적인 여가활동,전반적인 여가활동,전반적인 여가활동,전반적인 여가활동,불만족 이유 (%),불만족 이유 (%),불만족 이유 (%),불만족 이유 (%),불만족 이유 (%),불만족 이유 (%),불만족 이유 (%),불만족 이유 (%),불만족 이유 (%)
"특성별(1)",특성별(2),매우 불만족 (%),약간 불만족 (%),보통 (%),약간 만족 (%),매우 만족 (%),평균(5점) (점),매우 불만족 (%),약간 불만족 (%),보통 (%),약간 만족 (%),매우 만족 (%),평균(5점) (점),경제적 부담 때문에,시간이 부족하여,교통혼잡 및 이용 교통수단이 불편해서,여가시설이 부족하여,여가 정보 및 프로그램이 부족하여,적당한 취미가 없어서,체력이나 건강이 좋지 않아서,여가를 함께 즐길 사람이 없어서,기타
"전체",소계,4.8,30.6,53.9,10.7,0.0,2.71,5.0,28.8,55.4,10.8,0.0,2.72,13.8,18.3,3.7,26.8,13.5,9.0,13.3,1.3,0.2
"성별",남자,6.1,32.5,51.7,9.7,0.0,2.65,6.2,30.9,52.6,10.3,0.0,2.67,13.4,23.1,3.2,25.2,12.4,9.1,11.6,1.6,0.4
"성별",여자,3.5,28.7,56.0,11.8,0.0,2.76,3.9,26.9,58.0,11.2,0.0,2.77,14.2,12.9,4.3,28.7,14.8,8.9,15.3,0.9,0.0
"연령별",29세이하,6.2,41.1,45.7,7.0,0.0,2.53,7.4,33.9,54.0,4.7,0.0,2.56,11.0,13.9,7.2,44.1,13.1,3.3,7.4,0.0,0.0
"연령별",30 ~ 39세,7.7,30.3,45.9,16.1,0.0,2.70,7.7,25.8,50.9,15.6,0.0,2.74,3.9,26.3,0.0,54.0,15.8,0.0,0.0,0.0,0.0
"연령별",40 ~ 49세,7.8,27.5,49.5,15.3,0.0,2.72,7.8,24.6,53.7,14.0,0.0,2.74,11.2,23.8,1.7,43.8,16.6,1.7,0.0,1.3,0.0
"연령별",50 ~ 59세,4.9,29.4,57.0,8.7,0.0,2.69,4.6,29.9,57.6,7.8,0.0,2.69,14.7,23.3,5.1,21.0,21.5,6.8,4.4,2.1,1.1
"연령별",60 ~ 69세,1.4,27.8,59.5,11.3,0.0,2.81,1.0,28.4,56.4,14.3,0.0,2.84,19.5,19.8,5.1,17.8,13.0,16.2,6.7,1.8,0.0
"연령별",70세이상,3.9,29.5,57.3,9.3,0.0,2.72,4.7,29.0,56.2,10.0,0.0,2.72,16.1,9.7,1.1,2.0,4.4,18.3,46.7,1.7,0.0
"경제활동 상태별",취업자,4.6,30.9,52.1,12.3,0.0,2.72,4.7,28.5,54.6,12.2,0.0,2.74,11.7,26.5,3.0,30.7,14.6,8.2,3.2,1.7,0.4
"경제활동 상태별",비경제활동,5.0,30.2,56.1,8.7,0.0,2.69,5.4,29.3,56.3,8.9,0.0,2.69,16.2,8.4,4.6,22.2,12.2,10.0,25.6,0.8,0.0
"소득수준별",100만원 미만,3.6,33.7,60.9,1.7,0.0,2.61,4.3,30.5,63.2,1.9,0.0,2.63,28.9,7.4,8.7,8.7,2.4,8.7,33.4,1.8,0.0
"소득수준별",100~200만원 미만,1.5,37.5,56.8,4.2,0.0,2.64,3.6,35.3,56.0,5.2,0.0,2.63,26.2,5.9,1.3,15.2,10.0,15.0,24.3,2.2,0.0
"소득수준별",200~300만원 미만,4.0,30.4,55.0,10.6,0.0,2.72,3.2,28.7,58.7,9.3,0.0,2.74,10.4,13.2,4.3,31.3,20.7,13.1,7.0,0.0,0.0
"소득수준별",300~400만원 미만,4.3,29.1,46.2,20.5,0.0,2.83,4.4,25.5,54.5,15.6,0.0,2.81,3.7,38.1,0.0,30.3,9.2,13.6,2.4,2.7,0.0
"소득수준별",400~500만원 미만,3.6,26.5,54.0,15.8,0.0,2.82,4.1,25.4,49.1,21.4,0.0,2.88,7.3,24.1,3.6,36.5,13.1,4.1,9.3,0.0,2.0
"소득수준별",500만원 이상,9.8,27.0,50.4,12.8,0.0,2.66,9.3,27.8,49.4,13.5,0.0,2.67,2.8,26.3,2.7,41.9,23.8,1.0,0.6,0.9,0.0
"교육정도별",초졸이하,3.4,29.8,56.5,10.3,0.0,2.74,3.7,31.2,52.9,12.2,0.0,2.74,19.3,14.8,2.5,1.7,3.5,16.1,41.0,1.1,0.0
"교육정도별",중졸,3.7,33.3,56.5,6.5,0.0,2.66,3.7,32.7,58.0,5.7,0.0,2.66,18.0,19.9,0.8,22.9,14.4,12.8,8.4,2.8,0.0
"교육정도별",고졸,4.1,28.8,53.5,13.6,0.0,2.77,3.8,25.8,57.2,13.2,0.0,2.80,13.3,20.3,7.0,27.8,11.4,8.9,9.5,1.2,0.7
"교육정도별",대졸이상,7.0,31.8,51.2,10.0,0.0,2.64,7.9,28.6,53.7,9.8,0.0,2.65,8.6,17.6,2.7,43.6,21.4,2.8,2.5,0.7,0.0
