"특성별(1)",특성별(2),2022,2022,2022,2022,2022,2022,2022
"특성별(1)",특성별(2),농업 임업 및 어업(A),광업 및 제조업(B C),전기 가스 증기 및 공기 조절 공급업/수도(D) 하수 및 폐기물 처리(E) 원료 재생업/건설업(F),도매업(G) 숙박 및 음식점업(I),공공 행정 국방 및 사회보장 행정(O),교육서비스업(P),기타서비스업
"전체",소계,29.8,10.4,6.4,18.7,6.1,6.0,22.6
"성별",남자,28.7,13.8,9.6,14.4,6.6,3.3,23.6
"성별",여자,31.5,5.4,1.6,25.1,5.3,9.9,21.3
"연령별",29세이하,14.1,9.2,4.6,17.4,11.1,9.6,34.1
"연령별",30 ~ 39세,3.8,27.7,10.3,17.0,14.5,4.8,21.9
"연령별",40 ~ 49세,11.2,13.5,10.0,22.6,8.5,9.5,24.6
"연령별",50 ~ 59세,19.8,11.9,7.9,18.0,5.2,7.4,29.8
"연령별",60 ~ 69세,50.7,4.0,2.5,22.4,1.2,3.7,15.5
"연령별",70세이상,70.3,0.0,2.1,9.2,3.5,1.4,13.6
"경제활동 상태별",취업자,29.8,10.4,6.4,18.7,6.1,6.0,22.6
"경제활동 상태별",비경제활동,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"소득수준별",100만원 미만,38.0,4.6,5.3,21.3,7.0,2.2,21.5
"소득수준별",100~200만원 미만,45.9,6.8,2.0,25.3,1.5,3.7,14.8
"소득수준별",200~300만원 미만,47.7,7.8,2.2,15.8,2.8,5.4,18.3
"소득수준별",300~400만원 미만,28.2,11.0,6.7,22.3,5.5,6.5,19.7
"소득수준별",400~500만원 미만,21.1,11.9,12.2,25.5,4.4,5.6,19.3
"소득수준별",500만원 이상,9.5,14.9,8.8,10.8,12.5,8.4,34.9
"교육정도별",초졸이하,70.4,1.8,1.8,10.0,3.3,3.3,9.4
"교육정도별",중졸,56.0,5.5,3.7,17.4,0.8,2.7,13.8
"교육정도별",고졸,28.4,7.7,6.9,24.8,3.2,1.7,27.2
"교육정도별",대졸이상,8.9,17.6,8.2,16.3,11.4,12.0,25.5
